"Ottawa stands by U.S. as safe third country, despite new border policy",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Toronto mayor wants independent review after man deemed a threat flees Canada,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Ottawa to pay nearly $1B to settle sexual misconduct lawsuits against Canadian Armed Forces,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
"12,000 L of oil spilled into ocean off Newfoundland, causing oil rig shutdown",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
"'Exemplary' medical student who raped unconscious woman caved to temptation, lawyer argues",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
"China can afford to wait out Canada in diplomatic dispute, Japanese ambassador warns",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Quebec Superior Court upholds religious symbols ban,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Canada's highest court won't hear WestJet appeal in sexual harassment case,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Inuit describe 'bittersweet' experience at burial sites of lost loved ones in South ,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
EU president takes shot at Trump's 'unacceptable' tweets after Trudeau meeting,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
New documentary Once Were Brothers: Robbie Robertson and The Band to open TIFF 2019,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
"What Arctic ice can tell us about plagues, climate and conflict in the Middle Ages",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
TD customers question how Visa Debit chequing accounts were compromised,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Canada gets its first-ever intelligence commissioner,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
"Fat cats: Felines heavier now than in 1990s, study finds",https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Too ugly to survive: Signal Hill fence demolition complete,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Edmonton teacher charged with sexual assault involving student,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
Drugs make her a 'monster:' A Hamilton family's cry for help fighting addiction,https://www.cbc.ca/news/canada,2019-07-18 15:36:52
